#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
drunken_tournament;Drunken Fool;Imbécile ivre;Drunken Fool;;Drunken Fool;;;;;;;;;x
EVTDESC70082;You stumble out to the tourney grounds in a haze of ale, ready to face your next joust. You try to mount your horse, but trip and fall from the saddle. You begin to notice the eyes of the tourney-goers on you, and realize to your horror that you've forgotten to don your armor and most of your clothes.;Vous vous sentez prêt à participez à votre prochaine joute. Vous empestez le vin et c'est en titubant que vous entrez sur le terrain. Vous essayez de monter sur votre cheval mais perdez l'équilibre avant de tomber de votre selle. Vous remarquez les regards de la foule et réalisez avec horreur que vous avez oublié de mettre votre armure et la plupart de vos vêtements.;You stumble out to the tourney grounds in a haze of ale, ready to face your next joust. You try to mount your horse, but trip and fall from the saddle. You begin to notice the eyes of the tourney-goers on you, and realize to your horror that you've forgotten to don your armor and most of your clothes.;;You stumble out to the tourney grounds in a haze of ale, ready to face your next joust. You try to mount your horse, but trip and fall from the saddle. You begin to notice the eyes of the tourney-goers on you, and realize to your horror that you've forgotten to don your armor and most of your clothes.;;;;;;;;;x
EVTDESC70083;It is [From.GetBestName]'s turn to joust, but to the crowd's shock, [From.GetSheHe] stumbles out to the tourney field late and clearly drunk, with none of [From.GetHerHis] armor and only slightly more of [From.GetHerHis] clothing. [From.GetSheHeCap] tries to mount [From.GetHerHis] horse, but trips and falls comically to the ground, unable even to ride.;C'est au tour de [From.GetBestName] d'entrer en lice, mais la foule est choquée. [From.GetSheHe] arrive en titubant sur le terrain et est clairement ivre. [From.GetSheHe] ne porte pas d'armure et a oublié de mettre la plupart de ses vêtements. [From.GetSheHeCap] essaye de monter sur son cheval, mais tombe immédiatement de selle.;It is [From.GetBestName]'s turn to joust, but to the crowd's shock, [From.GetSheHe] stumbles out to the tourney field late and clearly drunk, with none of [From.GetHerHis] armor and only slightly more of [From.GetHerHis] clothing. [From.GetSheHeCap] tries to mount [From.GetHerHis] horse, but trips and falls comically to the ground, unable even to ride.;;It is [From.GetBestName]'s turn to joust, but to the crowd's shock, [From.GetSheHe] stumbles out to the tourney field late and clearly drunk, with none of [From.GetHerHis] armor and only slightly more of [From.GetHerHis] clothing. [From.GetSheHeCap] tries to mount [From.GetHerHis] horse, but trips and falls comically to the ground, unable even to ride.;;;;;;;;;x
EVTDESC70084;[From.GetBestName] was furious at your disrespect, and demanded that you be thrown out of the tournament!;[From.GetBestName] était furieux(se) de votre manque de respect et a demandé à ce que vous soyez mis à la porte du tournoi !;[From.GetBestName] was furious at your disrespect, and demanded that you be thrown out of the tournament!;;[From.GetBestName] was furious at your disrespect, and demanded that you be thrown out of the tournament!;;;;;;;;;x
EVTDESC70085;Fortunately, [From.GetBestName] found your drunken antics more amusing than insulting. You still had to drop out of the tournament, but [From.GetHerHis] approval softens the blow to your reputation, somewhat.;Heureusement, [From.GetBestName] a trouvé vos cabrioles d'ivrogne plus amusantes qu'insultantes. Vous avez dû quitter le tournoi, mais son approbation a quelque peu atténué l'impact de cette frasque sur votre réputation.;Fortunately, [From.GetBestName] found your drunken antics more amusing than insulting. You still had to drop out of the tournament, but [From.GetHerHis] approval softens the blow to your reputation, somewhat.;;Fortunately, [From.GetBestName] found your drunken antics more amusing than insulting. You still had to drop out of the tournament, but [From.GetHerHis] approval softens the blow to your reputation, somewhat.;;;;;;;;;x
EVTDESC70086;[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], I hereby invite you to attend the tourney of [From.Capital.GetName], where you shall see Knights and Lords test their mettle.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], par la présente je vous invite à assister au tournoi de [From.Capital.GetName], où Chevaliers et Seigneurs mettront à l'épreuve leur courage.\n\n Cordialement,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] de [From.PrimaryTitle.GetName].;[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], I hereby invite you to attend the tourney of [From.Capital.GetName], where you shall see Knights and Lords test their mettle.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];;[Root.GetTitledFirstName] [Root.GetOnlyDynastyName], I hereby invite you to attend the tourney of [From.Capital.GetName], where you shall see Knights and Lords test their mettle.\n\n Regards,\n[From.GetFirstName] [From.GetOnlyDynastyName], [From.GetTitle] of [From.PrimaryTitle.GetName];;;;;;;;;x
EVTDESC70087;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed second in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a obtenu la seconde place du tournoi de  [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed second in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed second in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;;;;;;;;x
EVTDESC70088;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed third in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a obtenu la troisième place du tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed third in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] placed third in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;;;;;;;;x
EVTDESC70089;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been tragically killed during [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a tragiquement trouvé la mort lors du tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been tragically killed during [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been tragically killed during [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;;;;;;;;x
EVTDESC70090;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been horrifically maimed jousting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a été horiblement mutilé lors d'une joute au tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been horrifically maimed jousting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been horrifically maimed jousting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;;;;;;;;x
EVTDESC70091;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been badly wounded fighting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] a été sévèrement blessé lors d'un combat au tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName].;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been badly wounded fighting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;[FromFrom.GetTitledFirstName] [FromFrom.GetOnlyDynastyName] has been badly wounded fighting in [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s tournament.;;;;;;;;;x
EVTDESC70092;After much food, wine, jousting and combat, [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s Tourney has finally ended.;Après de nombreux festins, beuveries, joutes et combats, le Tournoi de [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName] a finalement pris fin.;After much food, wine, jousting and combat, [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s Tourney has finally ended.;;After much food, wine, jousting and combat, [From.GetTitle] [From.GetFirstName] [From.GetOnlyDynastyName]'s Tourney has finally ended.;;;;;;;;;x
EVTDESC70095;My [GetFromRelation] [From.GetTitledFirstName] has shown time and time again their skill at arms during the Tourney. Despite not winning, [From.GetSheHe] prevailed against many knights in the lists, covering [From.GetHerHim]self in glory.;Mon(a) [GetFromRelation] [From.GetTitledFirstName] a montré à de nombreuses reprises sa maîtrise des armes durant le Tournoi. Même s'[From.GetSheHe] n'a pas gagné, [From.GetSheHe] a battu de nombreux chevaliers dans les lices, se couvrant de gloire.;My [GetFromRelation] [From.GetTitledFirstName] has shown time and time again their skill at arms during the Tourney. Despite not winning, [From.GetSheHe] prevailed against many knights in the lists, covering [From.GetHerHim]self in glory.;;My [GetFromRelation] [From.GetTitledFirstName] has shown time and time again their skill at arms during the Tourney. Despite not winning, [From.GetSheHe] prevailed against many knights in the lists, covering [From.GetHerHim]self in glory.;;;;;;;;;x
EVTDESC70096;My [GetFromRelation] [From.GetTitledFirstName] may not have won any of the melee events in the Tourney but [From.GetHerHis] prowess in the lists did not go unnoticed.;Mon(a) [GetFromRelation] [From.GetTitledFirstName] n'a peut-être pas remporté de mélée lors du Tournoi, mais ses prouesses dans les lices ne sont pas passées inaperçues.;My [GetFromRelation] [From.GetTitledFirstName] may not have won any of the melee events in the Tourney but [From.GetHerHis] prowess in the lists did not go unnoticed.;;My [GetFromRelation] [From.GetTitledFirstName] may not have won any of the melee events in the Tourney but [From.GetHerHis] prowess in the lists did not go unnoticed.;;;;;;;;;x
EVTDESC70097;My [GetFromRelation] [From.GetTitledFirstName] failed to display their full prowess during the Tourney. [From.GetSheHeCap] won a handful of tilts against lesser men, but was soundly beaten in the later lists.;Mon(a) [GetFromRelation] [From.GetTitledFirstName] n'a pas réussi à montrer toute sa valeur durant le Tournoi. [From.GetSheHeCap] a remporté une poignée de victoires contre des hommes de moindre valeur, mais a été sèchement vaincu dans les dernières lices.;My [GetFromRelation] [From.GetTitledFirstName] failed to display their full prowess during the Tourney. [From.GetSheHeCap] won a handful of tilts against lesser men, but was soundly beaten in the later lists.;;My [GetFromRelation] [From.GetTitledFirstName] failed to display their full prowess during the Tourney. [From.GetSheHeCap] won a handful of tilts against lesser men, but was soundly beaten in the later lists.;;;;;;;;;x
EVTDESC70098;My [GetFromRelation] [From.GetTitledFirstName] was vanquished in the early rounds of the Tourney. We can still hear the scorn of the crowd, after [From.GetSheHe] was unhorsed time after time.;Mon(a) [GetFromRelation] [From.GetTitledFirstName] a été vaincu dans les premiers tours du Tournoi. Nous pouvons encore entendre le mépris et les railleries de la foule à chaque fois qu'[From.GetSheHe] était désarçonné(e).;My [GetFromRelation] [From.GetTitledFirstName] was vanquished in the early rounds of the Tourney. We can still hear the scorn of the crowd, after [From.GetSheHe] was unhorsed time after time.;;My [GetFromRelation] [From.GetTitledFirstName] was vanquished in the early rounds of the Tourney. We can still hear the scorn of the crowd, after [From.GetSheHe] was unhorsed time after time.;;;;;;;;;x
EVTDESCjoust.0;It is time to prove you know how to joust, your name has come up in the tournament roster.;It is time to prove you know how to joust, your name has come up in the tournament roster.;It is time to prove you know how to joust, your name has come up in the tournament roster.;;It is time to prove you know how to joust, your name has come up in the tournament roster.;;;;;;;;;x
EVTDESCjoust.10;The joust is over, and both participants have managed to avoid any injuries.;The joust is over, and both participants have managed to avoid any injuries.;The joust is over, and both participants have managed to avoid any injuries.;;The joust is over, and both participants have managed to avoid any injuries.;;;;;;;;;x
EVTDESCjoust.11;The joust is over, and the loser was wounded!;The joust is over, and the loser was wounded!;The joust is over, and the loser was wounded!;;The joust is over, and the loser was wounded!;;;;;;;;;x
EVTDESCjoust.12;The joust is over, and the loser was maimed!;The joust is over, and the loser was maimed!;The joust is over, and the loser was maimed!;;The joust is over, and the loser was maimed!;;;;;;;;;x
EVTDESCjoust.13;The joust is over, and the loser was killed!;The joust is over, and the loser was killed!;The joust is over, and the loser was killed!;;The joust is over, and the loser was killed!;;;;;;;;;x
EVTDESCjoust.1;You are facing your next opponent in the joust. You climb your horse and your squire hands you your lance and shield. This is your chance to prove your worth!;You are facing your next opponent in the joust. You climb your horse and your squire hands you your lance and shield. This is your chance to prove your worth!;You are facing your next opponent in the joust. You climb your horse and your squire hands you your lance and shield. This is your chance to prove your worth!;;You are facing your next opponent in the joust. You climb your horse and your squire hands you your lance and shield. This is your chance to prove your worth!;;;;;;;;;x
EVTDESCjoust.20;The duel is fought, and honor is satisfied even if no blood was shed.;The duel is fought, and honor is satisfied even if no blood was shed.;The duel is fought, and honor is satisfied even if no blood was shed.;;The duel is fought, and honor is satisfied even if no blood was shed.;;;;;;;;;x
EVTDESCjoust.21;The duel is fought, and the loser is lying on the ground, not moving. Honor is satisfied.;The duel is fought, and the loser is lying on the ground, not moving. Honor is satisfied.;The duel is fought, and the loser is lying on the ground, not moving. Honor is satisfied.;;The duel is fought, and the loser is lying on the ground, not moving. Honor is satisfied.;;;;;;;;;x
EVTDESCjoust.2;Both knights are prepared for the event. Their lances are shining in the sun while the crowd looks on expectantly.;Both knights are prepared for the event. Their lances are shining in the sun while the crowd looks on expectantly.;Both knights are prepared for the event. Their lances are shining in the sun while the crowd looks on expectantly.;;Both knights are prepared for the event. Their lances are shining in the sun while the crowd looks on expectantly.;;;;;;;;;x
EVTDESCjoust.3;Your opponent [From.GetTitledFirstName] stands down from the jousts, and will no longer participate in this part of the tournament.;Your opponent [From.GetTitledFirstName] stands down from the jousts, and will no longer participate in this part of the tournament.;Your opponent [From.GetTitledFirstName] stands down from the jousts, and will no longer participate in this part of the tournament.;;Your opponent [From.GetTitledFirstName] stands down from the jousts, and will no longer participate in this part of the tournament.;;;;;;;;;x
EVTOPTA70000;A chance to prove my worth;Une chance de prouver ma valeur;A chance to prove my worth;;A chance to prove my worth;;;;;;;;;x
EVTOPTA70008;Hopefully they feel the same way;Hopefully they feel the same way;Hopefully they feel the same way;;Hopefully they feel the same way;;;;;;;;;x
EVTOPTA70031;I am more diplomatic than I thought.;Je suis plus diplomate que je le pensais.;I am more diplomatic than I thought.;;I am more diplomatic than I thought.;;;;;;;;;x
EVTOPTA70050;I feel the same way;I feel the same way;I feel the same way;;I feel the same way;;;;;;;;;x
EVTOPTA70051;I am so happy!;I am so happy!;I am so happy!;;I am so happy!;;;;;;;;;x
EVTOPTA70052;[FromFrom.GetSheHeCap] truly deserves it!;[FromFrom.GetSheHeCap] le mérite vraiment !;[FromFrom.GetSheHeCap] truly deserves it!;;[FromFrom.GetSheHeCap] truly deserves it!;;;;;;;;;x
EVTOPTA70053;She is truely a beauty;Elle est réellement une beauté.;She is truely a beauty;;She is truely a beauty;;;;;;;;;x
EVTOPTA70054;Hedge Knights don't belong here;Les Chevaliers Errants n'ont rien à faire ici.;Hedge Knights don't belong here;;Hedge Knights don't belong here;;;;;;;;;x
EVTOPTA70057;How wonderful!;Que c'est merveilleux !;How wonderful!;;How wonderful!;;;;;;;;;x
EVTOPTA70058;A good choice;Un bon choix.;A good choice;;A good choice;;;;;;;;;x
EVTOPTA70060;Do I really care now?;Je m'en fiche désormais.;Do I really care now?;;Do I really care now?;;;;;;;;;x
EVTOPTA70061;He merely jests;Ce n'était que de simples plaisanteries.;He merely jests;;He merely jests;;;;;;;;;x
EVTOPTA70062;I will dominate him;Je vais le battre.;I will dominate him;;I will dominate him;;;;;;;;;x
EVTOPTA70063;I apologise profusely;Je lui présente mes excuses.;I apologise profusely;;I apologise profusely;;;;;;;;;x
EVTOPTA70064;Good;Bien;Good;;Good;;;;;;;;;x
EVTOPTA70065;My honour is restored;Mon honneur est lavé…;My honour is restored;;My honour is restored;;;;;;;;;x
EVTOPTA70066;Until the next time...;Jusqu'à la prochaine fois…;Until the next time...;;Until the next time...;;;;;;;;;x
EVTOPTA70067;The humiliation...;Quelle humiliation…;The humiliation...;;The humiliation...;;;;;;;;;x
EVTOPTA70068;The humiliation...;Quelle humiliation…;The humiliation...;;The humiliation...;;;;;;;;;x
EVTOPTA70071;How exciting!;Que c'est excitant !;How exciting!;;How exciting!;;;;;;;;;x
EVTOPTA70074;I shall pursue her;Je vais lui faire des avances.;I shall pursue her;;I shall pursue her;;;;;;;;;x
EVTOPTA70075;Embrace the passion;Embrassez la passion;Embrace the passion;;Embrace the passion;;;;;;;;;x
EVTOPTA70076;Great!;Génial !;Great!;;Great!;;;;;;;;;x
EVTOPTA70077;I'll have to find some wench then;Je devrai chercher une autre jouvencelle dans ce cas.;I'll have to find some wench then;;I'll have to find some wench then;;;;;;;;;x
EVTOPTA70078;Grand Tourney;Grand Tournoi;Grand Tourney;;Grand Tourney;;;;;;;;;x
EVTOPTA70079;Winners;Vainqueurs;Winners;;Winners;;;;;;;;;x
EVTOPTA70082;Gods be good, what was I thinking...;Que les Dieux soient bons, à quoi pensais-je…;Gods be good, what was I thinking...;;Gods be good, what was I thinking...;;;;;;;;;x
EVTOPTA70083;Ha! Now there's a [From.GetManWoman] who knows how to celebrate!;Ha ! Voilà un(e) [From.GetManWoman] qui sait faire la fête !;Ha! Now there's a [From.GetManWoman] who knows how to celebrate!;;Ha! Now there's a [From.GetManWoman] who knows how to celebrate!;;;;;;;;;x
EVTOPTA70084;There'll be no glory for me this year.;Il n'y aura pas de gloire pour moi cette année.;There'll be no glory for me this year.;;There'll be no glory for me this year.;;;;;;;;;x
EVTOPTA70085;There'll be no glory for me this year.;Il n'y aura pas de gloire pour moi cette année.;There'll be no glory for me this year.;;There'll be no glory for me this year.;;;;;;;;;x
EVTOPTA70086;I will attend, It shall be entertaining!;Je serai présent, ce sera amusant !;I will attend, It shall be entertaining!;;I will attend, It shall be entertaining!;;;;;;;;;x
EVTOPTA70087;A worthy runner up;Un digne second.;A worthy runner up;;A worthy runner up;;;;;;;;;x
EVTOPTA70088;[FromFrom.GetSheHeCap] fought well;[FromFrom.GetSheHeCap] s'est bien battu !;[FromFrom.GetSheHeCap] fought well;;[FromFrom.GetSheHeCap] fought well;;;;;;;;;x
EVTOPTA70089;How unfortunate;Quel malheur !;How unfortunate;;How unfortunate;;;;;;;;;x
EVTOPTA70092;It was a fine spectacle!;Ce fut un beau spectacle !;It was a fine spectacle!;;It was a fine spectacle!;;;;;;;;;x
EVTOPTAjoust.1;My lance is ready for you.;My lance is ready for you.;My lance is ready for you.;;My lance is ready for you.;;;;;;;;;x
EVTOPTAjoust.2;My lance is ready for you.;My lance is ready for you.;My lance is ready for you.;;My lance is ready for you.;;;;;;;;;x
EVTOPTB70003;My squire deserves some credit;Mon écuyer mérite un certain crédit.;My squire deserves some credit;;My squire deserves some credit;;;;;;;;;x
EVTOPTB70005;Personally I blame my squire;Personnellement, je blâme mon écuyer.;Personally I blame my squire;;Personally I blame my squire;;;;;;;;;x
EVTOPTB70050;It was fun, but let's end it here.;It was fun, but let's end it here.;It was fun, but let's end it here.;;It was fun, but let's end it here.;;;;;;;;;x
EVTOPTB70053;She is of a great family;Elle est d'une grande famille.;She is of a great family;;She is of a great family;;;;;;;;;x
EVTOPTB70054;I shall welcome him;Je l'accueillerai.;I shall welcome him;;I shall welcome him;;;;;;;;;x
EVTOPTB70059;This is a great honour for our house;C'est un grand honneur pour notre Maison.;This is a great honour for our house;;This is a great honour for our house;;;;;;;;;x
EVTOPTB70061;I will show him;Je vais lui montrer.;I will show him;;I will show him;;;;;;;;;x
EVTOPTB70063;I accept!;J'accepte !;I accept!;;I accept!;;;;;;;;;x
EVTOPTB70074;She's not for me;Elle n'est pas pour moi.;She's not for me;;She's not for me;;;;;;;;;x
EVTOPTB70075;No thanks;Non merci.;No thanks;;No thanks;;;;;;;;;x
EVTOPTB70078;Tournament;Tournoi Régional;Tournament;;Tournament;;;;;;;;;x
EVTOPTB70079;Runners-up;Seconde place;Runners-up;;Runners-up;;;;;;;;;x
EVTOPTB70083;This is an outrage!;C'est un outrage !;This is an outrage!;;This is an outrage!;;;;;;;;;x
EVTOPTB70086;I have better things to do than watch jousting;J'ai des choses plus importantes à faire qu'à regarder des joutes.;I have better things to do than watch jousting;;I have better things to do than watch jousting;;;;;;;;;x
EVTOPTB70087;[FromFrom.GetSheHeCap] brought honour to House [Root.GetOnlyDynastyName];[FromFrom.GetSheHeCap] a fait honneur à la Maison [Root.GetOnlyDynastyName].;[FromFrom.GetSheHeCap] brought honour to House [Root.GetOnlyDynastyName];;[FromFrom.GetSheHeCap] brought honour to House [Root.GetOnlyDynastyName];;;;;;;;;x
EVTOPTBjoust.1;Oh my… I really don't want to go through with this!;Oh my… I really don't want to go through with this!;Oh my… I really don't want to go through with this!;;Oh my… I really don't want to go through with this!;;;;;;;;;x
EVTOPTC70000;This is below me;C'est au-dessous de mon niveau.;This is below me;;This is below me;;;;;;;;;x
EVTOPTC70053;She is my love;C'est mon amour.;She is my love;;She is my love;;;;;;;;;x
EVTOPTC70061;That's it! I challenge you to single combat!;Très bien ! Je vous défie en combat singulier !;That's it! I challenge you to single combat!;;That's it! I challenge you to single combat!;;;;;;;;;x
EVTOPTC70078;Local Tourney;Tournoi Local;Local Tourney;;Local Tourney;;;;;;;;;x
EVTOPTC70079;Third Place;Troisième place;Third Place;;Third Place;;;;;;;;;x
EVTOPTC70087;Glory to House [Root.GetOnlyDynastyName]!;Gloire à la Maison [Root.GetOnlyDynastyName] !;Glory to House [Root.GetOnlyDynastyName]!;;Glory to House [Root.GetOnlyDynastyName]!;;;;;;;;;x
EVTOPTC70095;This reflects well on me and House [Root.GetOnlyDynastyName];Cela rejaillit sur moi et sur la Maison [Root.GetOnlyDynastyName].;This reflects well on me and House [Root.GetOnlyDynastyName];;This reflects well on me and House [Root.GetOnlyDynastyName];;;;;;;;;x
EVTOPTC70096;A good showing for House [Root.GetOnlyDynastyName];Une belle démonstration pour la Maison [Root.GetOnlyDynastyName].;A good showing for House [Root.GetOnlyDynastyName];;A good showing for House [Root.GetOnlyDynastyName];;;;;;;;;x
EVTOPTC70097;A poor showing for House [Root.GetOnlyDynastyName];Une bien piètre démonstration pour la Maison [Root.GetOnlyDynastyName].;A poor showing for House [Root.GetOnlyDynastyName];;A poor showing for House [Root.GetOnlyDynastyName];;;;;;;;;x
EVTOPTC70098;[From.GetSheHeCap] brings shame to House [Root.GetOnlyDynastyName];[From.GetSheHeCap] a couvert de honte la Maison [Root.GetOnlyDynastyName].;[From.GetSheHeCap] brings shame to House [Root.GetOnlyDynastyName];;[From.GetSheHeCap] brings shame to House [Root.GetOnlyDynastyName];;;;;;;;;x
EVTOPTD70000;No, don't bother me about tourneys again!;Non, ne me dérangez pas à nouveau à propos de tournois !;No, don't bother me about tourneys again!;;No, don't bother me about tourneys again!;;;;;;;;;x
EVTOPTD70053;Hmm, she will do;Hmm, cela ira.;Hmm, she will do;;Hmm, she will do;;;;;;;;;x
EVTOPTE70000;Don't ask me about these small tournies again!;Ne me dérangez plus à propos de ces petits tournois !;Don't ask me about these small tournies again!;;Don't ask me about these small tournies again!;;;;;;;;;x
EVTOPTF70000;Don't ask me about these type of tournies again!;Ne me dérangez plus à propos de ce type de tournois !;Don't ask me about these type of tournies again!;;Don't ask me about these type of tournies again!;;;;;;;;;x
EVTTOOLTIP70057;will be most pleased;sera enchantée;will be most pleased;;will be most pleased;;;;;;;;;x
EVTTOOLTIP70062;will become your rival;va devenir votre rival;will become your rival;;will become your rival;;;;;;;;;x
EVTTOOLTIP70063;will be challenged to a duel;va être défié en duel;will be challenged to a duel;;will be challenged to a duel;;;;;;;;;x
EVTTOOLTIP70064;You apologize to [From.GetTitledFirstName] [From.GetOnlyDynastyName];You apologize to [From.GetTitledFirstName] [From.GetOnlyDynastyName];You apologize to [From.GetTitledFirstName] [From.GetOnlyDynastyName];;You apologize to [From.GetTitledFirstName] [From.GetOnlyDynastyName];;;;;;;;;x
EVTTOOLTIP70069;The duel will end inconclusively;Le duel ne sera pas concluant.;The duel will end inconclusively;;The duel will end inconclusively;;;;;;;;;x
EVTTOOLTIP70075;will respond to your advances;va répondre à vos avances;will respond to your advances;;will respond to your advances;;;;;;;;;x
EVTTOOLTIP70076;will be thrilled;va être ravi;will be thrilled;;will be thrilled;;;;;;;;;x
EVTTOOLTIP70077;will be disappointed;va être déçu;will be disappointed;;will be disappointed;;;;;;;;;x
EVTTOOLTIPjoust.2;will be your opponent in the joust.;will be your opponent in the joust.;will be your opponent in the joust.;;will be your opponent in the joust.;;;;;;;;;x
hold_a_epic_tournament;Hold a Grand tourney of [Root.Capital.GetName];Organiser un grand tournoi à [Root.Capital.GetName];;;;;;;;;;;;x
hold_a_epic_tournament_desc;Let us hold a tournament the like of which is only rumoured. All Knights and Lords of the realm will gather at [Root.Capital.GetName];Allons, organisons un tournoi comme nul autre pareil. Tous les chevaliers et les seigneurs du Royaume se rassembleront à [Root.Capital.GetName];;;;;;;;;;;;x
normal_tourny_1st_1;Tournament wins: 1;Victoires Tournoi Régional: 1;Tournament wins: 1;;Tournament wins: 1;;;;;;;;;x
normal_tourny_1st_2;Tournament wins: 2;Victoires Tournoi Régional: 2;Tournament wins: 2;;Tournament wins: 2;;;;;;;;;x
normal_tourny_1st_3;Tournament wins: 3;Victoires Tournoi Régional: 3;Tournament wins: 3;;Tournament wins: 3;;;;;;;;;x
normal_tourny_1st_4;Tournament wins: 4;Victoires Tournoi Régional: 4;Tournament wins: 4;;Tournament wins: 4;;;;;;;;;x
normal_tourny_1st_5;Tournament wins: 5+;Victoires Tournoi Régional: 5+;Tournament wins: 5+;;Tournament wins: 5+;;;;;;;;;x
normal_tourny_2nd_1;Tournament second places: 1;Secondes places Tournoi Régional: 1;Tournament second places: 1;;Tournament second places: 1;;;;;;;;;x
normal_tourny_2nd_2;Tournament second places: 2;Secondes places Tournoi Régional: 2;Tournament second places: 2;;Tournament second places: 2;;;;;;;;;x
normal_tourny_2nd_3;Tournament second places: 3;Secondes places Tournoi Régional: 3;Tournament second places: 3;;Tournament second places: 3;;;;;;;;;x
normal_tourny_2nd_4;Tournament second places: 4;Secondes places Tournoi Régional: 4;Tournament second places: 4;;Tournament second places: 4;;;;;;;;;x
normal_tourny_2nd_5;Tournament second places: 5+;Secondes places Tournoi Régional: 5+;Tournament second places: 5+;;Tournament second places: 5+;;;;;;;;;x
normal_tourny_3rd_1;Tournament third places: 1;Troisèmes places Tournoi Régional: 1;Tournament third places: 1;;Tournament third places: 1;;;;;;;;;x
normal_tourny_3rd_2;Tournament third places: 2;Troisèmes places Tournoi Régional: 2;Tournament third places: 2;;Tournament third places: 2;;;;;;;;;x
normal_tourny_3rd_3;Tournament third places: 3;Troisèmes places Tournoi Régional: 3;Tournament third places: 3;;Tournament third places: 3;;;;;;;;;x
normal_tourny_3rd_4;Tournament third places: 4;Troisèmes places Tournoi Régional: 4;Tournament third places: 4;;Tournament third places: 4;;;;;;;;;x
normal_tourny_3rd_5;Tournament third places: 5+;Troisèmes places Tournoi Régional: 5+;Tournament third places: 5+;;Tournament third places: 5+;;;;;;;;;x
opinion_attending_tournament;Attending tournament;Attending tournament;Attending tournament;;Attending tournament;;;;;;;;;x
opinion_potential_tourny_rival;Potential Tourney Rival;Potentiel rival en tournoi;Potential Tourney Rival;;Potential Tourney Rival;;;;;;;;;x
