e_britannia;Britain;Britain;Britannien;;Bretaña;;;;;;;;;x;
e_britannia_adj;British;britannique;Britisch;;Bretón;;;;;;;;;x;
e_spain;Spain;Spain;Spain;;Spain;;;;;;;;;x;
e_spain_adj;Spanish;Espagnol;Spanisch;;Español;;;;;;;;;x;
e_scandinavia;Kalmar Union;Union de Kalmar;Kalmarer Union;;Unión de Kalmar;;;;;;;;;x;
e_scandinavia_adj;Scandinavian;scandinave;Skandinavisch;;Escandinavo;;;;;;;;;x;
e_italy;Italia;Italia;Italia;;Italia;;;;;;;;;x
e_italy_adj;Italian;Italian;Italian;;Italian;;;;;;;;;x
e_bulgaria;Bulgaria;Bulgaria;Bulgaria;;Bulgaria;;;;;;;;;x
e_bulgaria_adj;Bulgarian;Bulgarian;Bulgarian;;Bulgarian;;;;;;;;;x
e_poland_lithuania;Polish-Lithuanian Commonwealth;Polish-Lithuanian Commonwealth;Polish-Lithuanian Commonwealth;;Polish-Lithuanian Commonwealth;;;;;;;;;x
e_poland_lithuania_adj;Polish-Lithuanian;Polish-Lithuanian;Polish-Lithuanian;;Polish-Lithuanian;;;;;;;;;x
e_abyssinia;Abyssinia;Abyssinia;Abyssinia;;Abyssinia;;;;;;;;;x
e_abyssinia_adj;Abyssinian;Abyssinian;Abyssinian;;Abyssinian;;;;;;;;;x
k_iceland;Commonwealth of Iceland;Commonwealth of Iceland;Commonwealth of Iceland;;Commonwealth of Iceland;;;;;;;;;x
k_iceland_adj;Icelandic;Icelandic;Icelandic;;Icelandic;;;;;;;;;x
k_khorasan;Khorasan;Khorasan;Khorasan;;Khorasan;;;;;;;;;x
k_khorasan_adj;Khorasanian;Khorasanian;Khorasanian;;Khorasanian;;;;;;;;;x
k_yemen;Yemen;Yemen;Yemen;;Yemen;;;;;;;;;x
k_yemen_adj;Yemeni;Yemeni;Yemeni;;Yemeni;;;;;;;;;x
k_oman;Oman;Oman;Oman;;Oman;;;;;;;;;x
k_oman_adj;Omani;Omani;Omani;;Omani;;;;;;;;;x
k_the_isles;the Isles;Îles;Isles;;Las Islas Occidentales;;;;;;;;;x
k_the_isles_adj;Islander;Îloise;Insel-;;Isleña;;;;;;;;;x
k_sardinia;Sardinia;Sardinia;Sardinia;;Sardinia;;;;;;;;;x
k_sardinian_adj;Sardinian;Sardinian;Sardinian;;Sardinian;;;;;;;;;x
k_cilicia;Cilicia;;;;;;;;;;;;;x
k_cilicia_adj;Cilician;;;;;;;;;;;;;x
k_antioch;Principality of Antioch;;;;;;;;;;;;;x
k_antioch_adj;Antiochian;;;;;;;;;;;;;x
k_nikaea;Nikaea;Nicée;Nikäa;;Nicea;;;;;;;;;x
k_nikaea_adj;Nikaean;nicéen;Nikäer;;Niceno;;;;;;;;;x
k_epirus;Epirus;Épire;Epirus;;Epirus;;;;;;;;;x
k_epirus_adj;Epirotian;épirote;Epirotischer;;Ípeiros;;;;;;;;;x
k_morea;Morea;Morea;Morea;;Morea;;;;;;;;;x
k_morea_adj;Morean;Morean;Morean;;Morean;;;;;;;;;x
d_udmurtia;Udmurtia;;;;;;;;;;;;;x
d_udmurtia_adj;Udmurt;;;;;;;;;;;;;x
d_baluchistan;Baluchistan;Baluchistan;Baluchistan;;Baluchistan;;;;;;;;;x
d_baluchistan_adj;Baluch;Baluch;Baluch;;Baluch;;;;;;;;;x
d_makuria;Makuria;Makuria;Makuria;;Makuria;;;;;;;;;x
d_makuria_adj;Makurian;Makurian;Makurian;;Makurian;;;;;;;;;x
d_alodia;Alodia;Alodia;Alodia;;Alodia;;;;;;;;;x
d_alodia_adj;Alodian;Alodian;Alodian;;Alodian;;;;;;;;;x
d_dhofar;Dhofar;Dhofar;Dhofar;;Dhofar;;;;;;;;;x
d_dhofar_adj;Dhofar;Dhofar;Dhofar;;Dhofar;;;;;;;;;x
d_aden;Aden;Aden;Aden;;Aden;;;;;;;;;x
d_aden_adj;Adenite;Adenite;Adenite;;Adenite;;;;;;;;;x
c_podlasie;Podlasia;Podlasie;Podlachien;;Podlasie; ;;;;;;;;x
d_podlasie;Podlasia;Podlasie;Podlachien;;Podlasie; ;;;;;;;;x
d_podlasie_adj;Podlasian;Podlasienne;Podlasischer; ;Podlasianés;;;;;;;;;x
k_cornwall;Cornwall;;;;;;;;;;;;;x
k_cornwall_adj;Cornish;;;;;;;;;;;;;x
k_israel;Israel;;;;;;;;;;;;;x
k_israel_adj;Israelite;;;;;;;;;;;;;x
e_serbia;Serbia;;;;;;;;;;;;;x
e_serbia_adj;Serbian;;;;;;;;;;;;;x
d_maakhir;Maakhir;Maakhir;Maakhir;;Maakhir;;;;;;;;;x
d_maakhir_adj;Maakhir;Maakhir;Maakhir;;Maakhir;;;;;;;;;x
e_wendish_empire;Poland-Lithuania;;;;;;;;;;;;;x
e_wendish_empire_adj;Polish-Lithuanian;;;;;;;;;;;;;x
c_guinea_adj;Guinean;Guinean;Guinean;;Guinean;;;;;;;;;x
b_kankan;Kankan;Kankan;Kankan;;Kankan;;;;;;;;;x
b_conakry;Conakry;Conakry;Conakry;;Conakry;;;;;;;;;x
b_bissandugu;Bissandugu;Bissandugu;Bissandugu;;Bissandugu;;;;;;;;;x
b_timbo;Timbo;Timbo;Timbo;;Timbo;;;;;;;;;x
c_kaabu_adj;Kaabu;Kaabu;Kaabu;;Kaabu;;;;;;;;;x
b_kansala;Kansala;Kansala;Kansala;;Kansala;;;;;;;;;x
b_zaguinchor;Zaguinchor;Zaguinchor;Zaguinchor;;Zaguinchor;;;;;;;;;x
b_bissau;Bissau;Bissau;Bissau;;Bissau;;;;;;;;;x
b_gabu;Gabu;Gabu;Gabu;;Gabu;;;;;;;;;x
c_gambia_adj;Gambian;Gambian;Gambian;;Gambian;;;;;;;;;x
b_morfil;Morfil;Morfil;Morfil;;Morfil;;;;;;;;;x
b_kaniaga;Kaniaga;Kaniaga;Kaniaga;;Kaniaga;;;;;;;;;x
b_banjul;Banjul;Banjul;Banjul;;Banjul;;;;;;;;;x
b_serekunda;Serekunda;Serekunda;Serekunda;;Serekunda;;;;;;;;;x
c_senegal_adj;Senegalese;Senegalese;Senegalese;;Senegalese;;;;;;;;;x
b_kahone;Kahone;Kahone;Kahone;;Kahone;;;;;;;;;x
b_touba;Touba;Touba;Touba;;Touba;;;;;;;;;x
b_tenguedj;Tenguedj;Tenguedj;Tenguedj;;Tenguedj;;;;;;;;;x
b_mederdra;Mederdra;Mederdra;Mederdra;;Mederdra;;;;;;;;;x
d_takrur;Takrur;Takrur;Takrur;;Takrur;;;;;;;;;x
d_takrur_adj;Takruri;Takruri;Takruri;;Takruri;;;;;;;;;x
d_kaabu;Kaabu;Kaabu;Kaabu;;Kaabu;;;;;;;;;x
d_kaabu;Kaabu;Kaabu;Kaabu;;Kaabu;;;;;;;;;x
c_chemama_adj;Chemama;Chemama;Chemama;;Chemama;;;;;;;;;x
b_kaedi;Kaedi;Kaedi;Kaedi;;Kaedi;;;;;;;;;x
b_boutilimit;Boutilimit;Boutilimit;Boutilimit;;Boutilimit;;;;;;;;;x
c_air_adj;Air;Air;Air;;Air;;;;;;;;;x
b_air;Air;Air;Air;;Air;;;;;;;;;x
b_ingall;In-Gall;In-Gall;In-Gall;;In-Gall;;;;;;;;;x
b_djanet;Djanet;Djanet;Djanet;;Djanet;;;;;;;;;x
k_jolof;Jolof;;;;;;;;;;;;;x
k_jolof_adj;Jolof;;;;;;;;;;;;;x
d_hayya;Alodia;Alodia;Alodia;;Alodia;;;;;;;;;x
d_hayya_adj;Alodian;Alodian;Alodian;;Alodian;;;;;;;;;x
